feature,is_discrete_for_mi,training_mi_attack_family,training_mi_fine_grained,training_mean_mi
Fwd Header Length,False,0.7076537756006891,0.7727994790118555,0.7402266273062723
Subflow Fwd Bytes,False,0.6495256851760807,0.9665082779165821,0.8080169815463314
Fwd Packets Length Total,False,0.6491308863301783,0.9662212488116397,0.807676067570909
Fwd Packet Length Mean,False,0.6476308086275002,0.9622766649542498,0.804953736790875
Avg Fwd Segment Size,False,0.6468356249954528,0.9619204907659988,0.8043780578807258
Fwd Packet Length Max,False,0.6420345923758892,0.9579777651582355,0.8000061787670624
Bwd Packet Length Mean,False,0.6321922630290506,0.9408286555598242,0.7865104592944374
Avg Bwd Segment Size,False,0.6316673060702422,0.9407065711262956,0.7861869385982689
Bwd Packet Length Max,False,0.6273514776369724,0.9363962734274824,0.7818738755322274
Subflow Bwd Bytes,False,0.6162176718238499,0.9252775475322348,0.7707476096780423
Bwd Packets Length Total,False,0.616174153797969,0.9253009503071765,0.7707375520525728
Init Fwd Win Bytes,False,0.5730229318259934,1.0050983120155574,0.7890606219207754
Fwd Packet Length Std,False,0.5635087265086247,0.8701759503314819,0.7168423384200533
Bwd Header Length,False,0.5627469547535815,0.6152594988487907,0.5890032268011861
Bwd Packet Length Std,False,0.5544866930124426,0.8634678658022539,0.7089772794073482
Packet Length Std,False,0.5538753948028143,0.8682653677780223,0.7110703812904183
Packet Length Variance,False,0.5512895971755658,0.8650241637276173,0.7081568804515915
Packet Length Mean,False,0.5464980594178228,0.8641733727067236,0.7053357160622732
Avg Packet Size,False,0.5452519966011169,0.8627169794277625,0.7039844880144397
Fwd IAT Mean,False,0.5323468140023655,0.9206078450884052,0.7264773295453854
Fwd IAT Total,False,0.5305157792885773,0.9226634421170556,0.7265896107028165
Fwd IAT Max,False,0.528052769264838,0.9068010219209302,0.7174268955928841
Total Backward Packets,False,0.4968806011592741,0.5476773798890475,0.5222789905241608
Subflow Bwd Packets,False,0.49661810212492496,0.5471342203976715,0.5218761612612982
Flow IAT Max,False,0.4923474560420582,0.9255365841325853,0.7089420200873218
Packet Length Max,False,0.4831135393612549,0.8058631780809831,0.644488358721119
Flow Duration,False,0.4607061093559126,0.8962135208821871,0.6784598151190498
Subflow Fwd Packets,False,0.45599068475311566,0.5165490737408935,0.4862698792470046
Total Fwd Packets,False,0.455980546961924,0.5165731198761403,0.48627683341903216
Fwd Packets/s,False,0.4433206807320944,0.8713478498094263,0.6573342652707603
Flow IAT Mean,False,0.43260549750721133,0.8590178970391409,0.6458116972731761
Init Bwd Win Bytes,False,0.4290019054511933,0.7308185149756976,0.5799102102134455
Bwd Packets/s,False,0.4262316293341173,0.7393241160481308,0.582777872691124
Bwd IAT Min,False,0.4200947347899444,0.48813363148893063,0.4541141831394375
Flow Packets/s,False,0.41716759684081595,0.8433017392108495,0.6302346680258327
Fwd IAT Min,False,0.40164680591392354,0.7542239281196053,0.5779353670167644
Flow IAT Std,False,0.40100853798150937,0.7234530135148296,0.5622307757481695
Fwd IAT Std,False,0.39527247401245225,0.6191871919232494,0.5072298329678508
Bwd IAT Total,False,0.3823367555416599,0.6922911434692283,0.5373139495054441
Bwd IAT Max,False,0.38134751262156796,0.6920341386259974,0.5366908256237827
Flow Bytes/s,False,0.35515967418343597,0.6683914214316156,0.5117755478075258
Bwd IAT Mean,False,0.3531722937309749,0.6640556034977358,0.5086139486143554
Bwd IAT Std,False,0.3438651152099046,0.6525350248358186,0.4982000700228616
Flow IAT Min,False,0.3374094974501263,0.5479862230758235,0.44269786026297486
Fwd Seg Size Min,True,0.30054530421243175,0.3167396652253431,0.30864248471888744
Fwd Act Data Packets,False,0.22527398679728594,0.27961252055992825,0.2524432536786071
Idle Max,False,0.13324043272063957,0.2450278748303214,0.18913415377548048
ECE Flag Count,True,0.12693581431840475,0.16350350935806263,0.1452196618382337
RST Flag Count,True,0.1269325131885111,0.16350020822816957,0.14521636070834032
Idle Min,False,0.12586664992667007,0.23677682736351535,0.1813217386450927
Idle Mean,False,0.12494042328232458,0.23784365988065703,0.1813920415814908
Fwd Packet Length Min,False,0.08096639283372364,0.09189516626544725,0.08643077954958545
Protocol,True,0.07967382668659687,0.0888829574144201,0.08427839205050848
Packet Length Min,False,0.07950541412929946,0.08830306163116175,0.0839042378802306
Bwd Packet Length Min,False,0.07891120586727118,0.07984723202806521,0.0793792189476682
Active Max,False,0.05700700357768085,0.06763729054483303,0.06232214706125694
Active Mean,False,0.05676024078250763,0.06794562878875299,0.06235293478563031
Active Min,False,0.055770000318384305,0.06628206199795539,0.06102603115816985
Down/Up Ratio,True,0.04272234788924073,0.07906748228074653,0.06089491508499363
Idle Std,False,0.04002947303279769,0.04390413182617969,0.04196680242948869
Active Std,False,0.03695975173808508,0.04068378477880508,0.03882176825844508
PSH Flag Count,True,0.030620857522926384,0.07384078588229298,0.05223082170260968
ACK Flag Count,True,0.02729417214498118,0.06916474713136109,0.04822945963817113
Fwd PSH Flags,True,0.011159164999494327,0.013215726449625641,0.012187445724559983
SYN Flag Count,True,0.011159164999494327,0.013215726449625641,0.012187445724559983
URG Flag Count,True,0.009240307202255818,0.009958287816753937,0.009599297509504877
FIN Flag Count,True,0.001042131755085508,0.0011178593187959169,0.0010799955369407124
