feature,gain,weight,cover,normalized_gain
Subflow Fwd Bytes,50774.54296875,368.0,112951.3515625,0.3323135700167664
Init Bwd Win Bytes,26914.203125,549.0,43630.484375,0.17615037776174294
Fwd Packet Length Max,17102.361328125,352.0,51677.3515625,0.11193299666259551
Packet Length Max,11635.1083984375,165.0,58721.046875,0.07615045224132355
Fwd IAT Total,10956.822265625,513.0,58535.36328125,0.0717111471662091
Bwd Packet Length Std,8359.291015625,156.0,68441.890625,0.05471060255374689
Init Fwd Win Bytes,7937.685546875,2748.0,25028.888671875,0.051951243034841235
Flow Packets/s,3522.742919921875,243.0,29622.921875,0.02305594905484476
Bwd IAT Min,2986.167236328125,135.0,76740.9609375,0.019544122643940964
Flow IAT Mean,2352.3896484375,374.0,12497.16796875,0.015396120899086783
Fwd Packets/s,1700.5274658203125,466.0,42254.6953125,0.01112975755244351
Flow IAT Std,1560.7430419921875,326.0,41620.8359375,0.010214884503883512
Bwd Packet Length Max,996.5367431640625,84.0,23065.443359375,0.0065222188799917
Bwd IAT Mean,861.7076416015625,47.0,50050.8125,0.005639777848273033
Fwd IAT Max,748.3527221679688,468.0,9532.6171875,0.004897882879782136
Fwd IAT Mean,632.1697998046875,484.0,32425.30078125,0.004137478955924359
Fwd Header Length,571.013671875,940.0,13486.1923828125,0.0037372191010355683
Subflow Bwd Bytes,539.7571411132812,56.0,23565.505859375,0.003532648686090456
Fwd Packet Length Mean,442.8348083496094,199.0,18820.900390625,0.0028983031158137896
Bwd IAT Std,433.0934143066406,67.0,40643.04296875,0.002834546807197651
Packet Length Mean,377.386474609375,102.0,50963.640625,0.002469951265354947
Bwd Packets/s,336.17242431640625,134.0,9655.8203125,0.002200210025219385
Bwd Packet Length Mean,256.60772705078125,182.0,9898.9296875,0.0016794681918184172
Packet Length Std,232.1739044189453,160.0,19886.529296875,0.0015195516203794727
Bwd Header Length,161.2371063232422,197.0,30971.375,0.00105527839914634
Fwd Packet Length Std,107.9267349243164,176.0,21180.7421875,0.0007063681224078535
Fwd IAT Min,85.39505004882812,750.0,18423.6953125,0.0005589008247883624
Total Backward Packets,85.08123779296875,85.0,11993.134765625,0.0005568469595054424
Flow Bytes/s,39.223548889160156,57.0,23719.58203125,0.000256713636361164
Bwd IAT Total,38.81504440307617,35.0,17638.466796875,0.0002540400212737376
Bwd IAT Max,24.253528594970703,129.0,30258.263671875,0.00015873656761143003
Avg Packet Size,18.73737907409668,63.0,28697.2578125,0.00012263400059952945
