feature,gain,split_count,normalized_gain
Subflow Fwd Bytes,15956055.548793022,592,0.3095273870465025
Init Bwd Win Bytes,13561865.913998615,1837,0.26308312270525747
Init Fwd Win Bytes,13297195.316172164,7626,0.25794884635965687
Fwd IAT Total,5203632.2579564275,1025,0.10094391380318189
Flow IAT Mean,688090.874955493,956,0.013348096584661634
Flow Packets/s,549841.2244887362,780,0.010666227438605392
Fwd Header Length,446802.05138937535,1860,0.008667397219235167
Flow IAT Std,430610.9669267073,649,0.008353310567189264
Fwd Packets/s,254572.37281854614,1119,0.004938383495331538
Packet Length Max,164209.23524060778,620,0.0031854524044179927
Fwd Packet Length Mean,162972.48262110975,546,0.003161460960820574
Bwd IAT Min,134402.78916813765,560,0.002607244880525783
Fwd Packet Length Max,119063.79899936449,629,0.002309687784891863
Packet Length Mean,88859.34525571966,246,0.0017237594133185676
Fwd IAT Mean,80231.37394367362,977,0.0015563876335222878
Bwd Packet Length Std,74817.97090528478,370,0.0014513744307054523
Fwd IAT Max,69886.3885872223,975,0.0013557079431924981
Fwd Packet Length Std,65540.41723838612,547,0.0012714015711276312
Fwd IAT Min,57767.31416171149,2077,0.0011206131587152524
Packet Length Std,57616.88496311079,281,0.001117695021670919
Bwd Header Length,24348.077410695143,405,0.0004723220445988309
Total Backward Packets,12313.097327216517,354,0.0002388585844720815
Bwd Packets/s,9748.820900048435,328,0.00018911485051859088
Bwd Packet Length Max,9027.384905189967,160,0.00017511990059334277
Bwd Packet Length Mean,8223.131880086788,373,0.00015951840455798568
Avg Packet Size,6520.274551897077,216,0.00012648511649404303
Bwd IAT Std,6224.833900973645,138,0.00012075393986157229
Flow Bytes/s,5502.822268340047,246,0.00010674782328828412
Bwd IAT Max,2133.760319009656,158,4.139226352696736e-05
Subflow Bwd Bytes,824.4806011261962,116,1.5993885541243647e-05
Bwd IAT Total,713.2720587439835,55,1.3836579844008196e-05
Bwd IAT Mean,123.00716770859435,139,2.386184172673691e-06
